idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
707,speech,JESSICA,Then he left in the morning without paying his bill.,disgust,neutral,neutral
708,speech,JESSICA,The hotelier wasn't going to take the matter any further.,neutral,neutral,neutral
709,speech,JESSICA,Edwin had left a brand new Mercedes in the car park so he thought that would cover the cost no problem.,neutral,neutral,neutral
710,speech,TREVOR,"So why did he end up in jail?
",surprise,curiosity,surprise
711,speech,ALAN,It wasn't his Mercedes.,neutral,neutral,neutral
712,speech,ALAN,"He'd taken it for a test drive from a car show room in Marseilles.
",neutral,neutral,neutral
713,speech,MARGARET,Seems like wherever he goes he gets arrested.,neutral,neutral,neutral
714,speech,ALAN,"It's only twice.
",neutral,neutral,neutral
715,speech,TREVOR,No he got arrested in Moscow as well.,sadness,neutral,neutral
716,speech,TREVOR,He was chatting a girl up in a bar and told her he worked for MI6.,disgust,neutral,neutral
717,speech,TREVOR,"He'd been doing it all week, unfortunately this girl was an off duty police woman and reported him.
",surprise,neutral,neutral
718,consigne,,BARMAN walks over.,,,
719,speech,MARGARET,"Goodness, I bet he must have loads of new stories that we all missed out on.",neutral,disappointment,neutral
720,speech,MARGARET,Shame he never kept a diary.,disgust,embarrassment,neutral
721,speech,BARMAN,Will any of the party be requiring luncheon?,neutral,curiosity,neutral
722,speech,MARGARET,I will; I'm absolutely famished.,joy,sadness,joy
723,speech,JESSICA,"I think I'll join you.
",joy,approval,neutral
724,speech,ALAN,I think I quite fancy a stroll.,joy,desire,neutral
725,speech,ALAN,"Trevor be a good chap and keep me company.
",joy,admiration,neutral
726,speech,TREVOR,"Yes all right, I guess we'll see you ladies later.
",neutral,approval,neutral
727,consigne,,They rise to leave. BARMAN returns to the bar,,,
728,speech,MARGARET,What's this?,surprise,curiosity,surprise
729,speech,MARGARET,"The men off to discuss politics over brandy?
",neutral,neutral,neutral
730,speech,ALAN,No it's far more complicated than that.,neutral,confusion,neutral
731,speech,ALAN,"I could explain it to you, but I'm not sure your pretty little head would understand.",neutral,confusion,neutral
732,consigne,,smiling,,,
733,speech,MARGARET,"Get out of my sight you absolute terror.
",fear,fear,fear
734,consigne,,ALAN and TREVOR leave.,,,
735,consigne,,sighs,,,
736,speech,MARGARET,"Goodness me.
",joy,gratitude,neutral
737,speech,JESSICA,"Whatever's the matter?
",neutral,curiosity,neutral
738,speech,MARGARET,"Well, Alan of course.
",neutral,neutral,neutral
739,speech,JESSICA,"What's wrong with Alan?
",anger,curiosity,surprise
740,speech,MARGARET,"Don't tell me you didn't notice the drinking.
",disgust,neutral,neutral
741,speech,JESSICA,"Oh rubbish, we were all at it.
",disgust,annoyance,disgust
742,speech,MARGARET,Not like him.,disgust,disapproval,disgust
743,speech,MARGARET,He was really putting it away.,disgust,neutral,neutral
744,speech,MARGARET,And the worst thing is he wasn't even coming across as drunk.,disgust,annoyance,disgust
745,speech,MARGARET,"He must do it all the time.
",neutral,neutral,neutral
746,speech,JESSICA,"Alan has always liked a drink.
",joy,neutral,neutral
747,speech,MARGARET,Not in this joyless way.,joy,disapproval,neutral
748,speech,MARGARET,He looks like he's drowning his sorrows.,sadness,sadness,neutral
749,speech,JESSICA,We are here for a funeral.,sadness,neutral,neutral
750,speech,MARGARET,No it's something else.,neutral,neutral,neutral
751,speech,MARGARET,"I'm gonna have to talk to him.
",sadness,neutral,neutral
752,speech,JESSICA,Now don't be frightful towards him; he's having fun.,fear,joy,neutral
753,speech,JESSICA,He's on holiday if anything.,neutral,neutral,neutral
754,speech,JESSICA,I'm quite sure you're worrying over nothing.,neutral,caring,neutral
755,speech,MARGARET,"You're seriously saying you're not worried?
",surprise,neutral,surprise
756,consigne,,annoyed,,,
757,speech,JESSICA,"Oh come on Margaret, why do you always have to be this way.",surprise,neutral,surprise
758,speech,JESSICA,Just let the man enjoy his drink.,neutral,joy,neutral
759,speech,JESSICA,You're always finding something to worry about.,fear,caring,neutral
760,speech,JESSICA,You'll be on at me for something next.,neutral,neutral,neutral
761,consigne,,Pause in which MARGARET moves uneasily in her chair and looks the other way,,,
762,speech,JESSICA,What?,surprise,neutral,surprise
763,speech,JESSICA,"What is it?
",neutral,neutral,neutral
764,speech,MARGARET,"Well I wasn't going to say anything, but, well, you're not going to do anything silly are you?
",anger,neutral,anger
765,speech,JESSICA,"It's been known to happen, what are you trying to say?
",neutral,curiosity,neutral
766,speech,MARGARET,I really don't know how to say this without causing offence.,anger,confusion,anger
767,speech,MARGARET,"You are going to think of your husband while you're here aren't you?
",disgust,curiosity,disgust
768,consigne,,laughs and lights a cigarette,,,
769,speech,JESSICA,Oh Margaret.,neutral,neutral,neutral
770,speech,JESSICA,I'll be thinking of my husband alright.,neutral,caring,neutral
771,speech,MARGARET,"I'm glad, I'm sorry to have mentioned it.
",joy,remorse,joy
772,consigne,,ignoring her,,,
773,speech,JESSICA,I'll be thinking of a dull little man in our dull little home with our dull little perfect children.,sadness,sadness,sadness
774,speech,JESSICA,I'll be thinking of how boring and repetitive every single dull little day is.,sadness,annoyance,neutral
775,speech,MARGARET,"Jessica don't.
",neutral,neutral,neutral
776,speech,JESSICA,I came down here so I could fuck.,anger,anger,disgust
777,speech,JESSICA,"And I'm sure you'd rather I fuck Trevor then your darling drunken Alan.
",anger,neutral,anger
778,speech,MARGARET,"What do you mean?
",surprise,confusion,surprise
779,speech,JESSICA,Oh come off it.,anger,neutral,neutral
780,speech,JESSICA,You've always been head over heels for him the same way Trevor's been for me.,neutral,neutral,neutral
781,speech,JESSICA,Tonight I'm going to give him something he's been thinking of for the last eight years.,neutral,neutral,neutral
782,speech,JESSICA,"Every time he fucked his wife he'll have been thinking of me, and now he can finally enjoy the perfect erotic evening she could never give him.
",neutral,neutral,disgust
783,speech,MARGARET,"When did you become so hateful?
",anger,curiosity,surprise
784,speech,JESSICA,"Oh Chickpea, I'm not hateful.",disgust,neutral,neutral
785,speech,JESSICA,I'm happy with my husband and my three girls.,joy,joy,joy
786,speech,MARGARET,"So why are you doing this?
",surprise,curiosity,surprise
787,speech,JESSICA,Because happiness isn't the same as excitement.,joy,neutral,neutral
788,speech,JESSICA,Fucking a married man is exciting.,joy,excitement,anger
789,speech,MARGARET,"What if you get caught?
",fear,curiosity,neutral
790,speech,JESSICA,Then all the better.,neutral,approval,neutral
791,speech,JESSICA,"Think how exciting it would be if my husband did find out.
",surprise,excitement,joy
792,speech,MARGARET,"And what if Trevor's wife did?
",neutral,curiosity,neutral
793,speech,JESSICA,"Look, I can't force a man to sleep with me; he's still got free will
",anger,neutral,anger
794,speech,BARMAN,"Pah!
",disgust,neutral,joy
795,speech,JESSICA,I'll do what I damn well like.,anger,approval,neutral
796,speech,JESSICA,"Just because you've got your own little problems, loving Alan, but living with some god awful middle aged beatnik.",disgust,love,disgust
797,speech,JESSICA,You don't have to be so excessively nice and proper all the time you know.,neutral,neutral,neutral
798,speech,JESSICA,We all know how much you must be hurting for your life to have turned out the way it has.,sadness,sadness,sadness
799,speech,JESSICA,"But no, being upset wouldn't be Margaret would it?",anger,disapproval,neutral
800,speech,JESSICA,It wouldn't be the proper thing to do.,sadness,disapproval,sadness
801,speech,JESSICA,So instead you bottle it all up inside and only vent it when you see people who want to enjoy themselves in a way that you don't know how to.,neutral,neutral,neutral
802,speech,JESSICA,Why don't you sort yourself out before you go fucking with other people.,anger,annoyance,disgust
803,consigne,,Pause,,,
804,speech,JESSICA,We were having a perfectly jolly time before you started talking such rot.,joy,joy,neutral
805,speech,JESSICA,I'll be buggered if I'm going to sit through lunch with you now.,neutral,neutral,neutral
806,speech,JESSICA,"I'm going to see if I can catch the boys up.
",neutral,neutral,neutral
807,consigne,,She stands and walks quickly out,,,
808,consigne,,Margaret sits in silence for a while. She pours a glass of whiskey from Alan's bottle and raises the glass to her lips. She stops just before drinking and puts the glass down on the table. She exits in the opposite direction to the others. BARMAN turns on the radio again and goes to collect the glasses.,,,
809,consigne,,END OF ACT I SCENE II,,,
810,consigne,,"Scene change: Three doors are introduced. One on the far left of the stage, one on the far right, and one is placed exactly half way between the two. The tables and chairs are removed. The bar is covered. The two sofas (sofa beds) are extended and placed prominently on each half of the stage. Two dressing tables and chairs are brought in and placed on either side of the stage. Other bedroom paraphernalia e.g. dress mirrors, lamps, TVs etc can be included, but are not vital to the scene.",,,
811,consigne,,Scene: JESSICA'S hotel room (left half of stage) and ALAN'S hotel room (right half of stage) connected to each other by the central door. ALAN is asleep on his bed. JESSICA is seated at her dressing table.,,,
812,consigne,,"Music fades out. JESSICA begins to beautify herself e.g. does her make-up, brushes her hair, pushes her boobs up, sprays perfume on her neck and up her skirt. A knock is heard on her outer door. ALAN sits bolt upright in his bed. He checks his watch, yawns and then slumps back asleep. JESSICA walks over to the door and reaches out a hand to open it. She changes her mind and instead lies on the bed in a sultry pose.",,,
813,speech,JESSICA,"Come in.
",neutral,neutral,neutral
814,consigne,,Enter TREVOR visibly agitated,,,
815,speech,TREVOR,"Hello.
",neutral,neutral,neutral
816,speech,JESSICA,Hello there.,neutral,neutral,neutral
817,speech,JESSICA,"Take a seat won't you.
",anger,neutral,neutral
818,consigne,,TREVOR goes to sit on the bed then changes his mind and sits on the chair by the dressing table.,,,
819,consigne,,pause,,,
820,speech,TREVOR,It's been lovely to see everyone again.,joy,love,joy
821,speech,TREVOR,Just like the old days.,neutral,approval,neutral
822,speech,JESSICA,Except in the old days we knew we'd have to see each other every day.,neutral,neutral,neutral
823,speech,JESSICA,It's almost like now there are no consequences.,neutral,neutral,neutral
824,speech,TREVOR,Well I suppose that's true in a manner of speaking.,neutral,approval,neutral
825,speech,JESSICA,You seem a little nervous.,fear,nervousness,neutral
826,speech,TREVOR,"No, no.",neutral,disapproval,neutral
827,speech,TREVOR,I'm fine.,neutral,approval,neutral
828,speech,JESSICA,"Really?
",surprise,curiosity,surprise
829,speech,TREVOR,Oh yes I'm fine.,neutral,approval,neutral
830,speech,JESSICA,"You're fidgeting.
",disgust,neutral,disgust
831,speech,TREVOR,"I had two cups of coffee after dinner, I usually only have one.",neutral,neutral,neutral
832,speech,TREVOR,It must be that.,neutral,neutral,neutral
833,consigne,,smiles,,,
834,speech,JESSICA,It must be.,neutral,neutral,neutral
835,speech,JESSICA,"I've ordered us some champagne, that should calm your nerv'85 your jitters.
",neutral,joy,neutral
836,consigne,,There's a knock on ALAN'S door which TREVOR and JESSICA remain oblivious to. ALAN sits bolt upright. JESSICA walks over to TREVOR and leads him over to the bed by his tie. They both sit on the bed. ALAN slumps asleep again. There's a knock on JESSICA'S door. ALAN sits up again. JESSICA gets up and lets in BARMAN who has a bottle of champagne and an ice bucket with a stand.,,,
837,speech,JESSICA,"Marvellous, just set it up by the dresser.",joy,admiration,joy
838,consigne,,"He does so and leaves. JESSICA pours two glasses and returns to sit next to TREVOR on the bed. They drink slowly. There's another, harder knock on ALAN'S door and this time he's fully shaken out of his sleep and goes to open his door.",,,
839,consigne,,Enter Margaret at great speed.,,,
840,speech,MARGARET,God I'm so glad you're in.,joy,joy,joy
841,speech,MARGARET,I'm so awfully worried.,fear,nervousness,fear
842,speech,MARGARET,I think something ghastly is going to happen.,fear,fear,fear
843,speech,ALAN,"Please, do come in.",neutral,neutral,neutral
844,consigne,,ALAN flops on his bed whilst MARGARET paces round the room.,,,
845,consigne,,she's speaking very fast,,,
846,speech,MARGARET,"I know what you're thinking, that I'm worrying over nothing, but I really think they might do it and it would be just awful.
",disgust,fear,sadness
847,speech,ALAN,"Would it?
",surprise,neutral,neutral
848,speech,MARGARET,"Oh yes, terrible.",fear,fear,sadness
849,speech,MARGARET,Just imagine the possible ramifications.,neutral,neutral,neutral
850,speech,ALAN,You see I hadn't thought about the ramifications.,neutral,neutral,neutral
851,speech,ALAN,I wasn't really thinking about anything.,neutral,neutral,neutral
852,speech,ALAN,I was asleep actually.,surprise,neutral,neutral
853,speech,MARGARET,And if anybody found out.,neutral,neutral,neutral
854,speech,MARGARET,"I know what you're going to say, '91who could possibly find out', but someone might.",surprise,neutral,neutral
855,speech,ALAN,"I was having a rather nice dream.
",joy,joy,joy
856,speech,MARGARET,"It's not just them to think about, there are children involved.",neutral,neutral,neutral
857,speech,ALAN,"I was bicycling through a beautiful garden, but I kept falling off my bike.",fear,disappointment,sadness
858,speech,MARGARET,I know they'll regret it.,sadness,remorse,sadness
859,speech,MARGARET,I know he will certainly.,neutral,approval,neutral
860,speech,ALAN,But it was okay because every time I landed in a big pool of raspberry jelly and bounced straight back up again.,neutral,approval,neutral
861,speech,MARGARET,"God it's awful!
",disgust,disgust,disgust
862,speech,ALAN,"Yes I prefer strawberry myself, but you can't choose what you dream about can you.",neutral,neutral,neutral
863,consigne,,pause,,,
864,speech,MARGARET,"Alan, I'm not at all convinced you're taking this seriously.",surprise,confusion,neutral
865,speech,ALAN,It's difficult to take it seriously when I don't know what the hell you're talking about.,disgust,annoyance,disgust
866,speech,MARGARET,"Jessica and Trevor are going to have an affair!
",surprise,neutral,surprise
867,speech,ALAN,"Oh really?
",surprise,surprise,surprise
868,speech,MARGARET,"Yes!
",anger,neutral,joy
869,consigne,,Pause,,,
870,speech,ALAN,"Who with?
",surprise,neutral,surprise
871,consigne,,shouting,,,
872,speech,MARGARET,"Why with each other of course!
",surprise,neutral,anger
873,speech,ALAN,Ohhhhhhh.,surprise,neutral,neutral
874,consigne,,Long pause.,,,
875,speech,ALAN,"Oh well.
",neutral,neutral,neutral
876,consigne,,He lays down and goes back to sleep again. MARGARET sighs and sits on the end of the bed with her head in her hands.,,,
877,speech,TREVOR,"Did you hear something?
",surprise,curiosity,neutral
878,speech,JESSICA,"No I didn't hear a thing.
",surprise,neutral,neutral
879,speech,TREVOR,"Nobody knows we're here do they.
",neutral,neutral,neutral
880,speech,JESSICA,Well the barman probably figured it out.,neutral,neutral,neutral
881,speech,JESSICA,"But judging by how much he had to drink today I reckon Alan is probably half comatose.
",neutral,neutral,neutral
882,speech,TREVOR,What about Margaret?,neutral,curiosity,neutral
883,speech,TREVOR,She was asking me some peculiar questions about you earlier.,neutral,neutral,neutral
884,speech,TREVOR,Like she almost knew we had planned to meet.,surprise,neutral,surprise
885,speech,JESSICA,Well it's possible she had an inkling.,neutral,neutral,neutral
886,speech,JESSICA,She did mention something to me too.,neutral,neutral,neutral
887,consigne,,TREVOR tenses,,,
888,speech,JESSICA,But don't worry about her.,fear,caring,neutral
889,speech,JESSICA,What can she do?,fear,neutral,neutral
890,speech,JESSICA,"She'll never know, and even if she did find out she's hardly going to spill the beans is she?
",neutral,neutral,neutral
891,speech,TREVOR,I'd just prefer it if nobody knew there were any beans.,neutral,neutral,neutral
892,speech,TREVOR,"I shouldn't even be here, I should be on the phone to my wife.",anger,neutral,anger
893,speech,JESSICA,Well you are here.,neutral,neutral,neutral
894,speech,JESSICA,I didn't force you to come over.,neutral,neutral,neutral
895,speech,TREVOR,"I know it's just I can't stop thinking about
",anger,excitement,neutral
896,speech,JESSICA,Don't think about anything.,disgust,neutral,neutral
897,consigne,,She gets the bottle and refills the glasses,,,
898,speech,JESSICA,Just enjoy the moment.,joy,joy,neutral
899,speech,JESSICA,Enjoy the moment you've been thinking about for the last eight years.,joy,joy,joy
900,consigne,,She moves her body into his and begins to kiss him,,,
901,speech,MARGARET,I can't just sit here and do nothing.,anger,disapproval,neutral
902,speech,MARGARET,They're probably next door right now about to make one of the biggest mistakes of their lives.,neutral,neutral,sadness
903,speech,MARGARET,"Come on, you've got to help me.
",anger,caring,fear
904,consigne,,She shakes ALAN and drags him up by the hand.,,,
905,speech,ALAN,"Well what the hell can I do?
",anger,anger,fear
906,speech,MARGARET,Well I imagine that if we go into her room then they're probably less likely to do anything.,neutral,neutral,neutral
907,speech,ALAN,"Are you insane?
",anger,curiosity,surprise
908,consigne,,TREVOR pulls out of the kiss.,,,
909,speech,TREVOR,"I'm sorry, I can't do this.",sadness,remorse,sadness
910,consigne,,TREVOR gets up and hurries out of the door.,,,
911,speech,JESSICA,Trevor wait.,neutral,neutral,neutral
912,consigne,,JESSICA follows him out.,,,
913,speech,MARGARET,"Come on, let's get in there, before it's too late.
",neutral,neutral,neutral
914,speech,ALAN,"Alright then, let's get it over with.",neutral,neutral,neutral
915,consigne,,ALAN opens the door that adjoins the two rooms and lets MARGARET in first. He then closes it behind her and turns the lock. He slumps on the bed and falls asleep again. MARGARET turns around horrified and bangs on the door,,,
916,speech,MARGARET,Alan!,surprise,neutral,joy
917,speech,MARGARET,Alan!,surprise,neutral,joy
918,consigne,,To herself,,,
919,speech,MARGARET,"Bastard!
",anger,anger,anger
920,consigne,,She nervously moves around the room. She picks up the two champagne glasses and looks at them for a long time.,,,
921,speech,MARGARET,"Where are they?
",neutral,neutral,neutral
922,consigne,,"She places the glasses on the dressing table. She moves over to the door (that leads to the corridor) and is about to open it, but pauses and presses her ear up against it. She quickly runs over to the adjoining door and tries the handle several times hurriedly.",,,
923,speech,MARGARET,Alan!,surprise,neutral,joy
924,speech,MARGARET,Alan!,surprise,neutral,joy
925,speech,MARGARET,"Let me in, there's someone coming.
",neutral,neutral,neutral
926,consigne,,She looks around in a panic and just as JESSICA'S and TREVOR'S voices can be heard outside the hallway door she quickly gets into the bed and covers herself in the duvet.,,,
927,consigne,,"Enter JESSICA and TREVOR, they don't notice the bulge in the bed.",,,
928,speech,TREVOR,"I'm sorry, I just think I'm a little nervous.",fear,nervousness,fear
929,speech,TREVOR,I've never done anything like this before.,neutral,surprise,neutral
930,consigne,,They sit on the end of the bed,,,
931,consigne,,"She stands and goes to refill the glasses, which she brings over to the bed. She places the champagne bottle on the floor between them. She sits and they begin to kiss. There's a knock on ALAN'S door.",,,
932,speech,ALAN,Piss off!,anger,anger,anger
933,consigne,,The knocking continues. ALAN gets out of bed and moves towards his hallway door,,,
934,consigne,,He opens the door and BARMAN is there.,,,
935,speech,ALAN,"Oh, I'm sorry.",sadness,remorse,sadness
936,speech,ALAN,I thought you were somebody else.,surprise,neutral,neutral
937,speech,BARMAN,I'm glad to hear it sir.,joy,joy,joy
938,speech,BARMAN,"And I am awfully sorry to disturb you, but you said to bring you up a glass of whiskey about this time.",sadness,remorse,neutral
939,speech,BARMAN,"You said it would help you sleep sir.
",neutral,neutral,neutral
940,consigne,,BARMAN hands over the drink which ALAN downs then hands straight back to him.,,,
941,speech,ALAN,That's my last one until the wake.,neutral,neutral,neutral
942,speech,BARMAN,"Sir?
",neutral,neutral,neutral
943,speech,ALAN,Can't carry a coffin if I can't walk straight.,sadness,disapproval,neutral
944,speech,BARMAN,Very true.,neutral,approval,neutral
945,speech,BARMAN,"Goodnight sir.
",neutral,gratitude,neutral
946,consigne,,"ALAN shuts the door then returns to the bed and sleeps. TREVOR begins to move his body so he's about to lay on top of JESSICA, but in doing so he kicks the bottle of champagne over.",,,
947,speech,TREVOR,Bugger.,neutral,neutral,neutral
948,speech,TREVOR,I'm so sorry.,sadness,remorse,sadness
949,speech,JESSICA,Fucking hell!,anger,anger,anger
950,speech,JESSICA,I'll go and get us another bottle.,neutral,neutral,neutral
951,speech,JESSICA,Use a towel to clear this up.,disgust,neutral,neutral
952,consigne,,JESSICA stands and exits. MARGARET suddenly appears from beneath the covers.,,,
953,speech,MARGARET,"What the hell do you think you're playing at?
",anger,anger,surprise
954,consigne,,TREVOR jumps up from the bed letting out a cry of surprise with one hand clutching his heart.,,,
955,speech,TREVOR,"What the hell do you think you're doing here?
",anger,anger,surprise
956,speech,MARGARET,Oh aren't we all going to shag Jessica tonight?,disgust,curiosity,disgust
957,speech,MARGARET,Alan and the Barman should be here in a second and I wouldn't be surprised if Bill Clinton pops by for a smoke.,surprise,neutral,neutral
958,speech,TREVOR,"You've got no right to be here.
",anger,disapproval,anger
959,speech,MARGARET,I've got no right!,anger,disapproval,anger
960,speech,MARGARET,"Trevor, you're going to ruin your marriage for one night of sex.",disgust,annoyance,sadness
961,speech,MARGARET,"You should be in your own bed missing your wife, not in Jessica's betraying her.",anger,neutral,anger
962,speech,TREVOR,"You don't understand, you don't know how long I've'85
",surprise,neutral,surprise
963,speech,MARGARET,Yes I do.,neutral,approval,neutral
964,speech,MARGARET,We all do Trevor.,neutral,neutral,neutral
965,speech,MARGARET,"It's never been a secret, not to any of us, and certainly not to Jessica.",neutral,neutral,neutral
966,speech,TREVOR,So you all knew?,surprise,neutral,surprise
967,speech,TREVOR,"All these years you all knew?
",surprise,neutral,surprise
968,speech,MARGARET,"Well I dare say we didn't know you still felt this way, you are married after all.",neutral,neutral,neutral
969,speech,TREVOR,I've tried not to think about her.,disgust,neutral,neutral
970,speech,TREVOR,"I didn't think It'd be a problem, but when I saw her yesterday ' oh God.",surprise,surprise,surprise
971,speech,MARGARET,"Trevor you can't do this.
",anger,disapproval,anger
972,speech,TREVOR,I have to do this.,sadness,neutral,neutral
973,speech,TREVOR,I need to do this.,neutral,desire,neutral
974,speech,TREVOR,I've wanted to for so long.,sadness,desire,sadness
975,speech,TREVOR,I've dreamed about it so many times.,surprise,neutral,joy
976,speech,MARGARET,"You're risking everything.
",anger,neutral,neutral
977,speech,TREVOR,I'm not even sure I am.,surprise,confusion,neutral
978,speech,TREVOR,The risk might be if I didn't do it.,fear,neutral,neutral
979,speech,TREVOR,I need to have one night with this woman or for the rest of my life I'll be remembering and regretting that I had a chance and threw it away.,sadness,remorse,sadness
980,consigne,,pause,,,
981,speech,MARGARET,"Trevor, you have a wife.",joy,neutral,neutral
982,speech,MARGARET,You have a wife who loves you and wants you.,joy,love,neutral
983,speech,MARGARET,She wants you just the way you are.,neutral,neutral,neutral
984,speech,MARGARET,She's given her heart and her soul to you.,neutral,neutral,joy
985,speech,MARGARET,All she's asking in return is for you to love her.,neutral,neutral,neutral
986,speech,MARGARET,Look at you.,disgust,neutral,neutral
987,speech,MARGARET,You're not the podgy awkward boy I knew.,neutral,disapproval,neutral
988,speech,MARGARET,You're a man who's made a name for himself.,disgust,admiration,disgust
989,speech,MARGARET,"You're a man who's earned himself a good life, a happy life.",neutral,admiration,neutral
990,speech,MARGARET,You've achieved it all yourself.,neutral,admiration,neutral
991,speech,MARGARET,"Jessica is beautiful, but she's not so out of your reach anymore.",sadness,admiration,neutral
992,speech,MARGARET,"You're rich, kind, clever and handsome.",neutral,admiration,neutral
993,speech,MARGARET,You could have any of the Jessica's out there.,neutral,neutral,neutral
994,speech,MARGARET,"Christ, you've already got one and she's waiting for you at home.",neutral,neutral,neutral
995,speech,MARGARET,She'll give you children and years of immeasurable happiness.,joy,joy,joy
996,speech,MARGARET,Do you really want to jeopardise all that because of a teenage fantasy?,anger,curiosity,anger
997,speech,MARGARET,"And besides, you wouldn't even get away with it.
",anger,neutral,neutral
998,speech,TREVOR,"What do you mean?
",surprise,confusion,surprise
999,speech,MARGARET,"More then anything else Trevor, you're a good man.",joy,admiration,neutral
1000,speech,MARGARET,You wouldn't be able to live with the guilt.,neutral,remorse,neutral
1001,speech,MARGARET,You'd have to tell her.,neutral,neutral,neutral
1002,speech,MARGARET,"You'd tell her knowing it would destroy everything, but you'd still have to do it because it's the right thing to do.",anger,approval,neutral
1003,speech,MARGARET,"You'll probably even end up telling her about this.
",neutral,neutral,neutral
1004,speech,TREVOR,"We five really know each other far too well don't we?
",neutral,curiosity,neutral
1005,speech,MARGARET,Frightful isn't it.,disgust,neutral,neutral
1006,speech,MARGARET,"You won't do it then?
",anger,neutral,anger
1007,speech,TREVOR,No.,neutral,neutral,neutral
1008,speech,TREVOR,You're right.,neutral,approval,neutral
1009,speech,TREVOR,I don't need this.,disgust,disapproval,disgust
1010,speech,TREVOR,And it will destroy me.,anger,anger,sadness
1011,speech,MARGARET,"Promise me something.
",neutral,neutral,neutral
1012,speech,TREVOR,"Margaret I meant it, I'm not going to do it.",disgust,disapproval,sadness
1013,speech,MARGARET,Not that.,neutral,neutral,neutral
1014,speech,MARGARET,Promise me you won't tell your wife about this.,neutral,neutral,neutral
1015,speech,MARGARET,You've been tested and you've passed.,neutral,approval,neutral
1016,speech,MARGARET,Don't destroy that.,anger,anger,neutral
1017,speech,TREVOR,I've cheated her.,disgust,sadness,sadness
1018,speech,MARGARET,"Make it up to her by spending the rest of your life making her happy.
",neutral,neutral,anger
1019,consigne,,Pause,,,
1020,speech,TREVOR,Okay.,neutral,approval,neutral
1021,speech,MARGARET,I'd better get out of here before Jessica comes back.,neutral,neutral,neutral
1022,speech,TREVOR,I'll wait and explain things to her.,neutral,neutral,neutral
1023,speech,MARGARET,"Trevor?
",surprise,neutral,neutral
1024,speech,TREVOR,"Okay, you're right.",neutral,approval,neutral
1025,speech,TREVOR,I'll leave her a note though.,neutral,neutral,neutral
1026,speech,TREVOR,She deserves that at least.,neutral,approval,neutral
1027,consigne,,MARGARET opens the hallway door a fraction and peeks out. She sees the coast is clear and leaves. Trevor sits at the dressing table and begins to write a message. He goes to sit on the bed and reads the note over and over. There is a knock on ALAN'S outer door. TREVOR looks towards ALAN'S room then leaves the note on the bed and quickly exits through JESSICA'S outer (hallway) door. MARGARET enters through ALAN'S outer (hallway) door and walks over to the adjoining door which she unlocks and opens. She looks around JESSICA'S room then closes the door again. She sits on ALAN'S bed.,,,
1028,speech,MARGARET,I think it's going to be okay.,joy,approval,neutral
1029,speech,MARGARET,"I didn't speak to Jessica, but I talked Trevor out of it.",neutral,neutral,neutral
1030,speech,MARGARET,He'll thank me one day.,neutral,gratitude,joy
1031,speech,MARGARET,He came so close to destroying everything.,disgust,sadness,disgust
1032,speech,MARGARET,"I know it's hardly the sort of thing to say about a friend, but I don't think that would have been Jessica's first affair.",neutral,disapproval,neutral
1033,speech,MARGARET,I think poor Trevor was quite defenceless against her really.,disgust,sadness,sadness
1034,consigne,,Long pause.,,,
1035,speech,MARGARET,Alan?,surprise,neutral,neutral
1036,consigne,,Pause,,,
1037,speech,MARGARET,Alan I know you're not asleep.,surprise,neutral,neutral
1038,speech,ALAN,"Yes I am, leave me alone.",fear,neutral,neutral
1039,speech,MARGARET,"Do you mind if I just lie here for a while?
",disgust,curiosity,neutral
1040,speech,ALAN,"You can swing from the ceiling for all I care, as long as you do it quietly.",neutral,caring,neutral
1041,consigne,,JESSICA and BARMAN enter JESSICA'S room. BARMAN is carrying a bottle of champagne.,,,
1042,speech,JESSICA,"It's awfully embarrassing, we spilled it all over the'85 
",disgust,embarrassment,sadness
1043,consigne,,pauses and looks round the room,,,
1044,speech,JESSICA,Oh!,surprise,neutral,surprise
1045,consigne,,She spots the note and goes over to read it. She is clearly fazed by what it says and screws it up in her fist.,,,
1046,speech,BARMAN,"Not a problem I hope madam?
",neutral,optimism,neutral
1047,speech,JESSICA,"Um, yes, no.",neutral,disapproval,neutral
1048,speech,JESSICA,"No, not at all.",neutral,disapproval,neutral
1049,consigne,,Regains her composure,,,
1050,speech,JESSICA,I asked Mr McLeish if he wouldn't mind letting me get some rest.,neutral,neutral,neutral
1051,speech,BARMAN,"Shall I leave the champagne then?
",neutral,neutral,neutral
1052,speech,JESSICA,Of course.,neutral,approval,neutral
1053,speech,JESSICA,I just wanted a glass before bed.,neutral,desire,neutral
1054,speech,JESSICA,I find it hard to sleep in hotels.,sadness,disappointment,neutral
1055,speech,JESSICA,"Edwin's picking up the bill after all isn't he?
",neutral,neutral,neutral
1056,speech,BARMAN,The estate is covering all costs Madam.,neutral,neutral,neutral
1057,speech,JESSICA,Well just clear away these things then and leave me a glass.,neutral,neutral,neutral
1058,speech,BARMAN,Very good madam.,neutral,admiration,neutral
1059,consigne,,BARMAN begins to clear away the clutter. JESSICA lights a cigarette and sits on the bed with her legs crossed.,,,
1060,speech,MARGARET,Alan.,neutral,neutral,neutral
1061,consigne,,She shakes him,,,
1062,speech,MARGARET,Alan wake up.,neutral,neutral,neutral
1063,speech,MARGARET,Wake up won't you.,fear,neutral,neutral
